Internet Archive ID,BHL Item ID,BHL Page ID,Sequence,Page Number,Page Type,Has Illustration,"Has Illustration
(Manual Check)",Notes
mobot31753002458716,128,352709,1,,Text,No,,
mobot31753002458716,128,352710,2,,Text,No,,
mobot31753002458716,128,352711,3,,Text,No,,
mobot31753002458716,128,352712,4,,Text,No,,
mobot31753002458716,128,352713,5,,Title Page,No,,
mobot31753002458716,128,352714,6,,Text,No,,
mobot31753002458716,128,352715,7,Page [v],Text,No,,
mobot31753002458716,128,352716,8,Page [vi],Text,No,,
mobot31753002458716,128,352717,9,Page [vii],Text,No,,
mobot31753002458716,128,352718,10,Page ix,Text,No,,
mobot31753002458716,128,352719,11,Page x,Text,No,,
mobot31753002458716,128,352720,12,Page 1,Text,No,,
mobot31753002458716,128,352721,13,Page 2,Text,No,,
mobot31753002458716,128,352722,14,Page 3,Text,No,,
mobot31753002458716,128,352723,15,Page 4,Text,No,,
mobot31753002458716,128,352724,16,Page 5,Text,No,,
mobot31753002458716,128,352725,17,Page 6,Text,No,,
mobot31753002458716,128,352726,18,Page 7,Text,No,,
mobot31753002458716,128,352727,19,Page 8,Text,No,,
mobot31753002458716,128,352728,20,Page 9,Text,No,,
mobot31753002458716,128,352729,21,Page 10,Text,No,,
mobot31753002458716,128,352730,22,Page 11,Text,No,,
mobot31753002458716,128,352731,23,Page 12,Text,No,,
mobot31753002458716,128,352732,24,Page 13,Text,No,,
mobot31753002458716,128,352733,25,Page 14,Text,No,,
mobot31753002458716,128,352734,26,Page 15,Text,No,,
mobot31753002458716,128,352735,27,Page 16,Text,No,,
mobot31753002458716,128,352736,28,Page 17,Text,No,,
mobot31753002458716,128,352737,29,Page 18,Text,No,,
mobot31753002458716,128,352738,30,Page 19,Text,No,,
mobot31753002458716,128,352739,31,Page 20,Text,No,,
mobot31753002458716,128,352740,32,Page 21,Text,No,,
mobot31753002458716,128,352741,33,Page 22,Text,No,,
mobot31753002458716,128,352742,34,Page 23,Text,No,,
mobot31753002458716,128,352743,35,Page 24,Text,No,,
mobot31753002458716,128,352744,36,Page 25,Text,No,,
mobot31753002458716,128,352745,37,Page 26,Text,No,,
mobot31753002458716,128,352746,38,Page 27,Text,No,,
mobot31753002458716,128,352747,39,Page 28,Text,No,,
mobot31753002458716,128,352748,40,Page 29,Text,No,,
mobot31753002458716,128,352749,41,Page 30,Text,No,,
mobot31753002458716,128,352750,42,Page 31,Text,No,,
mobot31753002458716,128,352751,43,Page 32,Text,No,,
mobot31753002458716,128,352752,44,Page 33,Text,No,,
mobot31753002458716,128,352753,45,Page 34,Text,No,,
mobot31753002458716,128,352754,46,Page 35,Text,No,,
mobot31753002458716,128,352755,47,Page 36,Text,No,,
mobot31753002458716,128,352756,48,Page 37,Text,No,,
mobot31753002458716,128,352757,49,Page 38,Text,No,,
mobot31753002458716,128,352758,50,Page 39,Text,No,,
mobot31753002458716,128,352759,51,Page 40,Text,No,,
mobot31753002458716,128,352760,52,Page 41,Text,No,,
mobot31753002458716,128,352761,53,Page 42,Text,No,,
mobot31753002458716,128,352762,54,Page 43,Text,No,,
mobot31753002458716,128,352763,55,Page 44,Text,No,,
mobot31753002458716,128,352764,56,Page 45,Text,No,,
mobot31753002458716,128,352765,57,Page 46,Text,No,,
mobot31753002458716,128,352766,58,Page 47,Text,No,,
mobot31753002458716,128,352767,59,Page 48,Text,No,,
mobot31753002458716,128,352768,60,Page 49,Text,No,,
mobot31753002458716,128,352769,61,Page 50,Text,No,,
mobot31753002458716,128,352770,62,Page 51,Text,No,,
mobot31753002458716,128,352771,63,Page 52,Text,No,,
mobot31753002458716,128,352772,64,Page 53,Text,No,,
mobot31753002458716,128,352773,65,Page 54,Text,No,,
mobot31753002458716,128,352774,66,Page 55,Text,No,,
mobot31753002458716,128,352775,67,Page 56,Text,No,,
mobot31753002458716,128,352776,68,Page 57,Text,No,,
mobot31753002458716,128,352777,69,Page 58,Text,No,,
mobot31753002458716,128,352778,70,Page 59,Text,No,,
mobot31753002458716,128,352779,71,Page 60,Text,No,,
mobot31753002458716,128,352780,72,Page 61,Text,No,,
mobot31753002458716,128,352781,73,Page 62,Text,No,,
mobot31753002458716,128,352782,74,Page 63,Text,No,,
mobot31753002458716,128,352783,75,Page 64,Text,No,,
mobot31753002458716,128,352784,76,Page 65,Text,No,,
mobot31753002458716,128,352785,77,Page 66,Text,No,,
mobot31753002458716,128,352786,78,Page 67,Text,No,,
mobot31753002458716,128,352787,79,Page 68,Text,No,,
mobot31753002458716,128,352788,80,Page 69,Text,No,,
mobot31753002458716,128,352789,81,Page 70,Text,No,,
mobot31753002458716,128,352790,82,Page 71,Text,No,,
mobot31753002458716,128,352791,83,Page 72,Text,No,,
mobot31753002458716,128,352792,84,Page 73,Text,No,,
mobot31753002458716,128,352793,85,Page 74,Text,No,,
mobot31753002458716,128,352794,86,Page 75,Text,No,,
mobot31753002458716,128,352795,87,Page 76,Text,No,,
mobot31753002458716,128,352796,88,Page 77,Text,No,,
mobot31753002458716,128,352797,89,Page 78,Text,No,,
mobot31753002458716,128,352798,90,Page 79,Text,No,,
mobot31753002458716,128,352799,91,Page 80,Text,No,,
mobot31753002458716,128,352800,92,Page 81,Text,No,,
mobot31753002458716,128,352801,93,Page 82,Text,No,,
mobot31753002458716,128,352802,94,Page 83,Text,No,,
mobot31753002458716,128,352803,95,Page 84,Text,No,,
mobot31753002458716,128,352804,96,Page 85,Text,No,,
mobot31753002458716,128,352805,97,Page 86,Text,No,,
mobot31753002458716,128,352806,98,Page 87,Text,No,,
mobot31753002458716,128,352807,99,Page 88,Text,No,,
mobot31753002458716,128,352808,100,Page 89,Text,No,,
mobot31753002458716,128,352809,101,Page 90,Text,No,,
mobot31753002458716,128,352810,102,Page 91,Text,No,,
mobot31753002458716,128,352811,103,Page 92,Text,No,,
mobot31753002458716,128,352812,104,Page 93,Text,No,,
mobot31753002458716,128,352813,105,Page 94,Text,No,,
mobot31753002458716,128,352814,106,Page 95,Text,No,,
mobot31753002458716,128,352815,107,Page 96,Text,No,,
