Internet Archive ID,BHL Item ID,BHL Page ID,Sequence,Page Number,Page Type,Has Illustration
mobot31753002572805,1112,695068,1,,"Title Page, Text",No
mobot31753002572805,1112,695069,2,,Text,No
mobot31753002572805,1112,695070,3,,"Title Page, Text",No
mobot31753002572805,1112,695071,4,Page III,Text,No
mobot31753002572805,1112,695072,5,Page I,"Text, Index",No
mobot31753002572805,1112,695073,6,Page II,"Text, Index",No
mobot31753002572805,1112,695074,7,Page III,"Text, Index",No
mobot31753002572805,1112,695075,8,Page IV,"Text, Index",No
mobot31753002572805,1112,695076,9,Page V,"Text, Index",No
mobot31753002572805,1112,695077,10,Page VI,"Text, Index",No
mobot31753002572805,1112,695078,11,Page VII,"Text, Index",No
mobot31753002572805,1112,695079,12,Page VIII,"Text, Index",No
mobot31753002572805,1112,695080,13,Page IX,"Text, Index",No
mobot31753002572805,1112,695081,14,Page X,"Text, Index",No
mobot31753002572805,1112,695082,15,Page XI,"Text, Index",No
mobot31753002572805,1112,695083,16,Page XII,"Text, Index",No
mobot31753002572805,1112,695084,17,Page XIII,"Text, Index",No
mobot31753002572805,1112,695085,18,Page XIV,"Text, Index",No
mobot31753002572805,1112,695086,19,Page XV,"Text, Index",No
mobot31753002572805,1112,695087,20,Page XVI,"Text, Index",No
mobot31753002572805,1112,695088,21,Page XVII,"Text, Index",No
mobot31753002572805,1112,695089,22,Page XVIII,"Text, Index",No
mobot31753002572805,1112,695090,23,Page XIX,"Text, Index",No
mobot31753002572805,1112,695091,24,Page XX,"Text, Index",No
mobot31753002572805,1112,695092,25,Page XXI,"Text, Index",No
mobot31753002572805,1112,695093,26,Page XXII,"Text, Index",No
mobot31753002572805,1112,695094,27,Page XXIII,"Text, Index",No
mobot31753002572805,1112,695095,28,Page XXIV,"Text, Index",No
mobot31753002572805,1112,695096,29,Page XXV,"Text, Index",No
mobot31753002572805,1112,695097,30,Page XXVI,"Text, Index",No
mobot31753002572805,1112,695098,31,Page XXVII,"Text, Index",No
mobot31753002572805,1112,695099,32,Page XXVIII,"Text, Index",No
mobot31753002572805,1112,695100,33,,"Title Page, Text",No
mobot31753002572805,1112,695101,34,,Text,No
mobot31753002572805,1112,695102,35,Page 1,Text,No
mobot31753002572805,1112,695103,36,Page 2,Text,No
mobot31753002572805,1112,695104,37,Page 3,Text,No
mobot31753002572805,1112,695105,38,Page 4,Text,No
mobot31753002572805,1112,695106,39,Page 5,Text,No
mobot31753002572805,1112,695107,40,Page 6,Text,No
mobot31753002572805,1112,695108,41,Page 7,Text,No
mobot31753002572805,1112,695109,42,Page 8,Text,No
mobot31753002572805,1112,695110,43,Page 9,Text,No
mobot31753002572805,1112,695111,44,Page 10,Text,No
mobot31753002572805,1112,695112,45,Page 11,Text,No
mobot31753002572805,1112,695113,46,Page 12,Text,No
mobot31753002572805,1112,695114,47,Page 13,Text,No
mobot31753002572805,1112,695115,48,Page 14,Text,No
mobot31753002572805,1112,695116,49,Page 15,Text,No
mobot31753002572805,1112,695117,50,Page 16,Text,No
mobot31753002572805,1112,695118,51,Page 17,Text,No
mobot31753002572805,1112,695119,52,Page 18,Text,No
mobot31753002572805,1112,695120,53,Page 19,Text,No
mobot31753002572805,1112,695121,54,Page 20,Text,No
mobot31753002572805,1112,695122,55,Page 21,Text,No
mobot31753002572805,1112,695123,56,Page 22,Text,No
mobot31753002572805,1112,695124,57,Page 23,Text,No
mobot31753002572805,1112,695125,58,Page 24,Text,No
mobot31753002572805,1112,695126,59,Page 25,Text,No
mobot31753002572805,1112,695127,60,Page 26,Text,No
mobot31753002572805,1112,695128,61,Page 27,Text,No
mobot31753002572805,1112,695129,62,Page 28,Text,No
mobot31753002572805,1112,695130,63,Page 29,Text,No
mobot31753002572805,1112,695131,64,Page 30,Text,No
mobot31753002572805,1112,695132,65,Page 31,Text,No
mobot31753002572805,1112,695133,66,Page 32,Text,No
mobot31753002572805,1112,695134,67,Page 33,Text,No
mobot31753002572805,1112,695135,68,Page 34,Text,No
mobot31753002572805,1112,695136,69,Page 35,Text,No
mobot31753002572805,1112,695137,70,Page 36,Text,No
mobot31753002572805,1112,695138,71,Page 37,Text,No
mobot31753002572805,1112,695139,72,Page 38,Text,No
mobot31753002572805,1112,695140,73,Page 39,Text,No
mobot31753002572805,1112,695141,74,Page 40,Text,No
mobot31753002572805,1112,695142,75,Page 41,Text,No
mobot31753002572805,1112,695143,76,Page 42,Text,No
mobot31753002572805,1112,695144,77,Page 43,Text,No
mobot31753002572805,1112,695145,78,Page 44,Text,No
mobot31753002572805,1112,695146,79,Page 45,Text,No
mobot31753002572805,1112,695147,80,Page 46,Text,No
mobot31753002572805,1112,695148,81,Page 47,Text,No
mobot31753002572805,1112,695149,82,Page 48,Text,No
mobot31753002572805,1112,695150,83,Page 49,Text,No
mobot31753002572805,1112,695151,84,Page 50,Text,No
mobot31753002572805,1112,695152,85,Page 51,Text,No
mobot31753002572805,1112,695153,86,Page 52,Text,No
mobot31753002572805,1112,695154,87,Page 53,Text,No
mobot31753002572805,1112,695155,88,Page 54,Text,No
mobot31753002572805,1112,695156,89,Page 55,Text,No
mobot31753002572805,1112,695157,90,Page 56,Text,No
mobot31753002572805,1112,695158,91,Page 57,Text,No
mobot31753002572805,1112,695159,92,Page 58,Text,No
mobot31753002572805,1112,695160,93,Page 59,Text,No
mobot31753002572805,1112,695161,94,Page 60,Text,No
mobot31753002572805,1112,695162,95,Page 61,Text,No
mobot31753002572805,1112,695163,96,Page 62,Text,No
mobot31753002572805,1112,695164,97,Page 63,Text,No
mobot31753002572805,1112,695165,98,Page 64,Text,No
mobot31753002572805,1112,695166,99,Page 65,Text,No
mobot31753002572805,1112,695167,100,Page 66,Text,No
mobot31753002572805,1112,695168,101,Page 67,Text,No
mobot31753002572805,1112,695169,102,Page 68,Text,No
mobot31753002572805,1112,695170,103,Page 69,Text,No
mobot31753002572805,1112,695171,104,Page 70,Text,No
mobot31753002572805,1112,695172,105,Page 71,Text,No
mobot31753002572805,1112,695173,106,Page 72,Text,No
mobot31753002572805,1112,695174,107,Page 73,Text,No
mobot31753002572805,1112,695175,108,Page 74,Text,No
mobot31753002572805,1112,695176,109,Page 75,Text,No
mobot31753002572805,1112,695177,110,Page 76,Text,No
mobot31753002572805,1112,695178,111,Page 77,Text,No
mobot31753002572805,1112,695179,112,Page 78,Text,No
mobot31753002572805,1112,695180,113,Page 79,Text,No
mobot31753002572805,1112,695181,114,Page 80,Text,No
mobot31753002572805,1112,695182,115,Page 81,Text,No
mobot31753002572805,1112,695183,116,Page 82,Text,No
mobot31753002572805,1112,695184,117,Page 83,Text,No
mobot31753002572805,1112,695185,118,Page 84,Text,No
mobot31753002572805,1112,695186,119,Page 85,Text,No
mobot31753002572805,1112,695187,120,Page 86,Text,No
mobot31753002572805,1112,695188,121,Page 87,Text,No
mobot31753002572805,1112,695189,122,Page 88,Text,No
mobot31753002572805,1112,695190,123,Page 89,Text,No
mobot31753002572805,1112,695191,124,Page 90,Text,No
mobot31753002572805,1112,695192,125,Page 91,Text,No
mobot31753002572805,1112,695193,126,Page 92,Text,No
mobot31753002572805,1112,695194,127,Page 93,Text,No
mobot31753002572805,1112,695195,128,Page 94,Text,No
mobot31753002572805,1112,695196,129,Page 95,Text,No
mobot31753002572805,1112,695197,130,Page 96,Text,No
mobot31753002572805,1112,695198,131,Page 97,Text,No
mobot31753002572805,1112,695199,132,Page 98,Text,No
mobot31753002572805,1112,695200,133,Page 99,Text,No
mobot31753002572805,1112,695201,134,Page 100,Text,No
mobot31753002572805,1112,695202,135,Page 101,Text,No
mobot31753002572805,1112,695203,136,Page 102,Text,No
mobot31753002572805,1112,695204,137,Page 103,Text,No
mobot31753002572805,1112,695205,138,Page 104,Text,No
mobot31753002572805,1112,695206,139,Page 105,Text,No
mobot31753002572805,1112,695207,140,Page 106,Text,No
mobot31753002572805,1112,695208,141,Page 107,Text,No
mobot31753002572805,1112,695209,142,Page 108,Text,No
mobot31753002572805,1112,695210,143,Page 109,Text,No
mobot31753002572805,1112,695211,144,Page 110,Text,No
mobot31753002572805,1112,695212,145,Page 111,Text,No
mobot31753002572805,1112,695213,146,Page 112,Text,No
mobot31753002572805,1112,695214,147,Page 113,Text,No
mobot31753002572805,1112,695215,148,Page 114,Text,No
mobot31753002572805,1112,695216,149,Page 115,Text,No
mobot31753002572805,1112,695217,150,Page 116,Text,No
mobot31753002572805,1112,695218,151,Page 117,Text,No
mobot31753002572805,1112,695219,152,Page 118,Text,No
mobot31753002572805,1112,695220,153,Page 119,Text,No
mobot31753002572805,1112,695221,154,Page 120,Text,No
mobot31753002572805,1112,695222,155,Page 121,Text,No
mobot31753002572805,1112,695223,156,Page 122,Text,No
mobot31753002572805,1112,695224,157,Page 123,Text,No
mobot31753002572805,1112,695225,158,Page 124,Text,No
mobot31753002572805,1112,695226,159,Page 125,Text,No
mobot31753002572805,1112,695227,160,Page 126,Text,No
mobot31753002572805,1112,695228,161,Page 127,Text,No
mobot31753002572805,1112,695229,162,Page 128,Text,No
mobot31753002572805,1112,695230,163,Page 129,Text,No
mobot31753002572805,1112,695231,164,Page 130,Text,No
mobot31753002572805,1112,695232,165,Page 131,Text,No
mobot31753002572805,1112,695233,166,Page 132,Text,No
