Internet Archive ID,BHL Item ID,BHL Page ID,Sequence,Page Number,Page Type,Has Illustration,"Has Illustration
(Manual Check)",Notes
mobot31753002220892,680,206367,1,,"Title Page, Text",No,,
mobot31753002220892,680,206368,2,,Text,No,,
mobot31753002220892,680,206369,3,Page III,Text,No,,
mobot31753002220892,680,206370,4,Page IV,Text,No,,
mobot31753002220892,680,206371,5,Page 1,Text,No,,
mobot31753002220892,680,206372,6,Page 2,Text,No,,
mobot31753002220892,680,206373,7,Taf. IV,Illustration,Yes,,
mobot31753002220892,680,206374,8,Taf. V,Illustration,Yes,,
mobot31753002220892,680,206375,9,Page 3,Text,No,,
mobot31753002220892,680,206376,10,Page 4,Text,No,,
mobot31753002220892,680,206377,11,Page 5,Text,No,,
mobot31753002220892,680,206378,12,Page 6,Text,No,,
mobot31753002220892,680,206379,13,Page 7,Text,No,,
mobot31753002220892,680,206380,14,Page 8,Text,No,,
mobot31753002220892,680,206381,15,Page 9,Text,No,,
mobot31753002220892,680,206382,16,Page 10,Text,No,,
mobot31753002220892,680,206383,17,Page 11,Text,No,,
mobot31753002220892,680,206384,18,Page 12,Text,No,,
mobot31753002220892,680,206385,19,Page 13,Text,No,,
mobot31753002220892,680,206386,20,Page 14,Text,No,,
mobot31753002220892,680,206387,21,Page 15,Text,No,,
mobot31753002220892,680,206388,22,Page 16,Text,No,,
mobot31753002220892,680,206389,23,Page 17,Text,No,,
mobot31753002220892,680,206390,24,Page 18,Text,No,,
mobot31753002220892,680,206391,25,Page 19,Text,No,,
mobot31753002220892,680,206392,26,Page 20,Text,No,,
mobot31753002220892,680,206393,27,Page 21,Text,No,,
mobot31753002220892,680,206394,28,Page 22,Text,No,,
mobot31753002220892,680,206395,29,Page 23,Text,No,,
mobot31753002220892,680,206396,30,Page 24,Text,No,,
mobot31753002220892,680,206397,31,Page 25,Text,No,,
mobot31753002220892,680,206398,32,Page 26,Text,No,,
mobot31753002220892,680,206399,33,Page 27,Text,No,,
mobot31753002220892,680,206400,34,Page 28,Text,No,,
mobot31753002220892,680,206401,35,Page 29,Text,No,,
mobot31753002220892,680,206402,36,Page 30,Text,No,,
mobot31753002220892,680,206403,37,Page 31,Text,No,,
mobot31753002220892,680,206404,38,Page 32,Text,No,,
mobot31753002220892,680,206405,39,Page 33,Text,No,,
mobot31753002220892,680,206406,40,Page 34,Text,No,,
mobot31753002220892,680,206407,41,Page 35,Text,No,,
mobot31753002220892,680,206408,42,Page 36,Text,No,,
mobot31753002220892,680,206409,43,Page 37,Text,No,,
mobot31753002220892,680,206410,44,Page 38,Text,No,,
mobot31753002220892,680,206411,45,Page 39,Text,No,,
mobot31753002220892,680,206412,46,Page 40,Text,No,,
mobot31753002220892,680,206413,47,Page 41,Text,No,,
mobot31753002220892,680,206414,48,Page 42,Text,No,,
mobot31753002220892,680,206415,49,Page 43,Text,No,,
mobot31753002220892,680,206416,50,Page 44,Text,No,,
mobot31753002220892,680,206417,51,Page 45,Text,No,,
mobot31753002220892,680,206418,52,Page 46,Text,No,,
mobot31753002220892,680,206419,53,Page 47,Text,No,,
mobot31753002220892,680,206420,54,Page 48,Text,No,,
mobot31753002220892,680,206421,55,Page 49,Text,No,,
mobot31753002220892,680,206422,56,Page 50,Text,No,,
mobot31753002220892,680,206423,57,Page 51,Text,No,,
mobot31753002220892,680,206424,58,Page 52,Text,No,,
mobot31753002220892,680,206425,59,Page 53,Text,No,,
mobot31753002220892,680,206426,60,Page 54,Text,No,,
mobot31753002220892,680,206427,61,Page 55,Text,No,,
mobot31753002220892,680,206428,62,Page 56,Text,No,,
mobot31753002220892,680,206429,63,Page 57,Text,No,,
mobot31753002220892,680,206430,64,Page 58,Text,No,,
